Temperature,x-acc,y-acc,z-acc,Pressure,Load,Flow,,,Nitrogen,,,Frequency,,,Failure Alert,Diagnostic Code
254,261,264,244,285,244,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
206,190,153,171,224,154,-1,1,-1,-1,1,-1,1,-1,-1,1,5
152,134,126,189,222,171,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
187,253,238,136,167,278,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
237,140,122,267,262,72,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
150,182,240,181,154,113,-1,1,-1,-1,1,-1,1,-1,-1,1,3
157,206,127,226,202,168,-1,1,-1,-1,1,-1,1,-1,-1,1,3
156,158,199,184,203,205,-1,1,-1,-1,1,-1,1,-1,-1,1,5
191,157,202,191,192,148,-1,1,-1,-1,1,-1,1,-1,-1,1,3
172,280,133,205,199,124,-1,1,-1,-1,1,-1,1,-1,-1,1,5
177,157,261,182,165,163,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
182,150,251,244,191,201,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
171,211,145,236,193,197,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
178,217,171,184,170,261,-1,1,-1,1,-1,-1,-1,1,-1,1,3
212,133,188,140,207,184,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
182,216,195,195,198,194,-1,1,-1,-1,1,-1,1,-1,-1,1,5
133,175,207,136,183,104,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
277,198,171,165,284,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
174,228,155,142,265,124,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
199,221,210,236,211,214,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
177,203,136,182,177,138,-1,1,-1,-1,1,-1,-1,1,-1,1,5
166,231,186,263,192,206,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
205,195,226,212,191,186,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
146,272,250,117,173,118,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
148,156,150,248,168,150,-1,-1,1,-1,-1,1,-1,-1,1,1,4
180,152,136,162,192,240,-1,1,-1,-1,1,-1,1,-1,-1,1,3
178,239,206,237,206,164,-1,1,-1,-1,1,-1,1,-1,-1,1,5
221,194,147,141,182,169,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
236,175,164,251,263,167,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
216,189,165,161,178,173,-1,1,-1,-1,1,-1,1,-1,-1,1,3
186,182,260,227,201,252,-1,1,-1,-1,1,-1,1,-1,-1,1,5
162,231,283,175,145,320,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
167,127,165,218,198,186,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
201,221,219,116,93,253,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
222,176,162,162,165,220,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
159,88,96,87,136,92,-1,-1,1,-1,-1,1,-1,-1,1,1,4
245,209,223,176,232,185,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
242,241,193,217,251,231,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
231,218,239,229,216,245,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
206,243,210,197,196,206,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
225,229,170,145,189,261,-1,1,-1,-1,1,-1,1,-1,-1,1,3
227,260,208,238,209,254,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
133,197,178,200,144,159,-1,1,-1,-1,1,-1,1,-1,-1,1,5
206,206,166,133,141,244,-1,1,-1,-1,1,-1,1,-1,-1,1,3
202,209,180,252,195,236,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
142,116,115,110,122,131,-1,-1,1,-1,-1,1,-1,-1,1,1,4
189,207,190,189,230,212,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
113,101,122,71,111,134,-1,-1,1,-1,-1,1,-1,-1,1,1,4
129,143,127,149,149,146,-1,-1,1,-1,-1,1,-1,-1,1,1,4
151,110,103,125,140,127,-1,-1,1,-1,-1,1,-1,-1,1,1,4
147,221,205,232,148,212,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
216,200,164,149,194,162,-1,1,-1,-1,1,-1,1,-1,-1,1,5
97,92,157,33,83,67,-1,-1,1,-1,-1,1,-1,-1,1,1,4
232,164,161,120,200,226,-1,1,-1,-1,1,-1,1,-1,-1,1,3
188,202,219,157,141,219,-1,1,-1,-1,1,-1,1,-1,-1,1,3
123,108,85,253,339,184,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
213,276,254,283,203,271,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
95,152,193,231,137,172,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
213,189,184,240,216,153,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
243,253,152,185,227,225,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
85,104,122,32,57,109,-1,-1,1,-1,-1,1,-1,-1,1,1,4
173,172,127,200,205,176,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
171,237,226,203,228,187,-1,1,-1,-1,1,-1,1,-1,-1,1,5
87,146,103,82,121,137,-1,-1,1,-1,-1,1,-1,-1,1,1,4
114,121,94,78,85,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
274,208,204,182,256,190,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
178,215,209,118,172,77,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
217,192,205,250,217,141,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
162,236,270,155,177,293,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
106,122,185,146,187,121,-1,-1,1,-1,-1,1,-1,-1,1,1,4
139,132,119,120,118,135,-1,-1,1,-1,-1,1,-1,-1,1,1,4
105,149,166,255,163,186,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
200,117,141,180,252,260,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
74,104,98,207,134,135,-1,1,-1,-1,1,-1,1,-1,-1,1,3
267,237,230,114,146,227,-1,1,-1,1,-1,-1,1,-1,-1,1,3
150,214,159,197,204,146,-1,1,-1,-1,1,-1,1,-1,-1,1,5
144,150,187,176,200,163,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
226,242,173,258,252,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
154,114,158,209,218,141,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
207,229,213,205,228,191,-1,1,-1,-1,1,-1,1,-1,-1,1,5
62,155,140,275,201,155,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
101,201,191,220,183,140,-1,1,-1,-1,1,-1,1,-1,-1,1,5
204,167,127,176,167,130,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
184,192,187,186,197,165,-1,1,-1,-1,1,-1,1,-1,-1,1,3
139,218,184,199,187,120,-1,1,-1,-1,1,-1,1,-1,-1,1,5
206,252,264,254,248,204,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
213,163,157,165,180,196,-1,1,-1,-1,1,-1,1,-1,-1,1,5
168,165,132,195,192,237,-1,1,-1,-1,1,-1,1,-1,-1,1,3
135,106,104,101,157,110,-1,-1,1,-1,-1,1,-1,-1,1,1,4
36,115,159,230,120,110,-1,1,-1,-1,1,-1,1,-1,-1,1,3
216,163,156,153,189,237,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
251,239,273,243,293,242,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
206,209,182,230,213,166,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
182,217,231,211,157,256,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
233,180,258,169,236,200,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
214,217,175,179,205,219,-1,1,-1,-1,1,-1,1,-1,-1,1,3
201,141,221,237,211,191,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
209,237,217,235,210,222,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
258,180,208,194,221,211,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
212,165,166,217,227,178,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
226,262,207,233,251,181,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
189,140,186,236,162,244,-1,1,-1,-1,1,-1,1,-1,-1,1,5
139,305,334,379,164,263,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
222,173,182,178,129,239,-1,1,-1,-1,1,-1,1,-1,-1,1,5
85,141,105,125,162,157,-1,-1,1,-1,-1,1,-1,-1,1,1,4
182,181,195,185,200,185,-1,1,-1,-1,1,-1,1,-1,-1,1,5
188,179,165,126,221,101,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
133,223,146,178,188,167,-1,1,-1,1,-1,-1,1,-1,-1,-1,1
203,169,165,221,221,187,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
185,185,190,204,203,199,-1,1,-1,-1,1,-1,1,-1,-1,1,5
270,199,197,226,263,199,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
216,137,219,172,210,206,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
148,100,146,260,140,240,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
136,107,111,112,137,144,-1,-1,1,-1,-1,1,-1,-1,1,1,4
143,91,132,97,159,115,-1,-1,1,-1,-1,1,-1,-1,1,1,4
171,175,228,163,170,147,-1,1,-1,-1,1,-1,1,-1,-1,1,3
222,162,244,241,150,261,-1,1,-1,1,-1,-1,1,-1,-1,1,5
247,162,184,164,218,228,-1,1,-1,-1,1,-1,1,-1,-1,1,5
228,106,143,165,260,153,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
282,230,271,226,300,283,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
154,154,184,163,188,163,-1,1,-1,-1,1,-1,1,-1,-1,1,3
240,303,201,216,235,250,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
142,154,117,243,218,179,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
141,152,202,220,179,76,-1,1,-1,-1,1,-1,1,-1,-1,1,3
206,168,136,180,145,226,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
166,164,145,201,189,245,-1,1,-1,-1,1,-1,1,-1,-1,1,3
199,131,243,230,230,218,-1,1,-1,-1,1,-1,1,-1,-1,1,5
198,200,199,213,183,192,-1,1,-1,-1,1,-1,1,-1,-1,1,5
240,228,141,172,250,191,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
175,170,273,111,144,199,-1,1,-1,-1,1,-1,1,-1,-1,1,3
163,213,242,297,155,244,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
227,169,189,222,227,155,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
208,203,181,180,176,214,-1,1,-1,-1,1,-1,1,-1,-1,1,3
208,210,209,193,187,182,-1,1,-1,-1,1,-1,1,-1,-1,1,3
283,210,245,205,293,257,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
108,123,119,110,81,125,-1,1,-1,-1,1,-1,-1,-1,1,1,4
120,165,156,198,205,137,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
148,255,271,318,143,231,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
138,209,131,191,171,113,-1,1,-1,-1,1,-1,-1,1,-1,1,5
75,76,127,223,185,97,-1,1,-1,-1,1,-1,1,-1,-1,1,3
182,185,146,171,169,164,-1,1,-1,-1,1,-1,1,-1,-1,1,3
252,174,219,239,234,207,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
191,234,229,180,187,175,-1,1,-1,-1,1,-1,1,-1,-1,1,3
225,178,142,184,222,213,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
138,215,239,163,55,187,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
158,148,140,189,178,175,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
238,267,250,259,221,289,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
150,135,104,229,171,164,-1,-1,1,-1,-1,1,-1,-1,1,1,4
187,206,175,146,223,158,-1,1,-1,-1,1,-1,1,-1,-1,1,5
195,189,157,178,217,213,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
150,175,207,198,149,148,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
189,210,296,292,174,284,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
104,150,120,128,128,121,-1,-1,1,-1,-1,1,-1,-1,1,1,4
132,158,127,158,71,126,-1,-1,1,-1,-1,1,-1,-1,1,1,4
197,143,178,178,113,237,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
195,187,151,190,194,128,-1,1,-1,-1,1,-1,1,-1,-1,1,3
79,140,123,101,107,154,-1,-1,1,-1,-1,1,-1,-1,1,1,4
160,204,211,222,159,156,-1,1,-1,-1,1,-1,1,-1,-1,1,5
233,75,90,213,232,207,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
136,115,139,132,133,120,-1,-1,1,-1,-1,1,-1,-1,1,1,4
224,173,212,145,198,136,-1,1,-1,-1,1,-1,1,-1,-1,1,3
201,220,240,184,205,234,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
206,121,147,187,181,197,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
102,108,155,108,116,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
195,152,179,172,245,219,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
115,229,160,223,162,93,-1,1,-1,-1,1,-1,1,-1,-1,1,5
190,163,172,174,198,172,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
176,156,170,172,197,182,-1,1,-1,-1,1,-1,1,-1,-1,1,5
154,113,65,100,69,119,-1,-1,1,-1,-1,1,-1,-1,1,1,4
212,222,156,166,137,240,-1,1,-1,-1,1,-1,1,-1,-1,1,3
267,223,179,219,252,173,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
187,175,220,152,166,222,-1,1,-1,-1,1,-1,1,-1,-1,1,3
164,143,123,143,118,118,-1,-1,1,-1,-1,1,-1,-1,1,1,4
163,118,141,178,185,169,-1,1,-1,-1,1,-1,1,-1,-1,1,3
266,270,246,222,238,233,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
221,214,167,198,172,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
220,284,260,259,200,271,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
163,206,159,189,174,174,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
197,205,245,178,183,154,-1,1,-1,-1,1,-1,1,-1,-1,1,3
169,219,222,144,193,194,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
197,267,171,252,203,229,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
151,124,126,180,143,148,-1,-1,1,-1,-1,1,-1,-1,1,1,4
155,130,150,106,142,88,-1,-1,1,-1,-1,1,-1,-1,1,1,4
213,180,148,176,214,197,-1,1,-1,-1,1,-1,1,-1,-1,1,5
173,211,146,182,156,248,-1,1,-1,-1,1,-1,1,-1,-1,1,3
197,96,151,116,153,225,-1,1,-1,-1,1,-1,1,-1,-1,1,3
172,188,146,179,158,199,-1,1,-1,-1,1,-1,1,-1,-1,1,5
177,229,295,164,170,272,-1,1,-1,-1,1,-1,1,-1,-1,-1,0
119,106,107,70,125,114,-1,-1,1,-1,-1,1,-1,-1,1,1,4
132,136,120,83,107,103,-1,-1,1,-1,-1,1,-1,-1,1,1,4
131,129,117,137,143,112,-1,-1,1,-1,-1,1,-1,-1,1,1,4
112,122,123,105,127,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
176,125,96,169,168,255,-1,1,-1,-1,1,-1,1,-1,-1,1,3
166,196,264,187,182,71,-1,1,-1,-1,1,-1,1,-1,-1,1,3
168,228,135,196,195,110,-1,1,-1,-1,1,-1,1,-1,-1,1,5
207,203,148,122,224,157,-1,1,-1,-1,1,-1,1,-1,-1,1,5
253,130,127,152,227,143,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
110,176,279,216,185,221,-1,1,-1,-1,1,-1,1,-1,-1,1,5
86,113,117,82,168,143,-1,-1,1,-1,-1,1,-1,-1,1,1,4
206,195,192,206,193,209,-1,1,-1,-1,1,-1,1,-1,-1,1,5
176,164,217,164,151,145,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
144,164,206,177,34,184,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
172,195,134,177,202,178,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
184,297,115,154,196,96,-1,1,-1,-1,1,-1,1,-1,-1,1,5
193,175,197,135,218,103,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
242,151,143,132,258,214,-1,1,-1,-1,1,-1,-1,1,-1,1,5
137,195,138,182,149,125,-1,1,-1,-1,1,-1,1,-1,-1,1,5
156,146,112,236,128,203,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
102,224,223,234,196,133,-1,1,-1,-1,1,-1,1,-1,-1,1,5
178,122,170,146,160,123,-1,-1,1,-1,-1,1,-1,-1,1,1,4
184,197,182,182,161,200,-1,1,-1,-1,1,-1,1,-1,-1,1,3
203,110,138,173,131,94,-1,-1,1,-1,-1,1,-1,-1,1,1,4
169,216,213,193,190,178,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
171,244,246,215,189,172,-1,1,-1,-1,1,-1,1,-1,-1,1,5
153,158,141,186,181,201,-1,1,-1,-1,1,-1,1,-1,-1,1,3
192,209,206,245,193,219,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
183,184,171,225,167,196,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
160,261,256,190,168,278,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
227,117,90,164,217,224,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
121,218,192,157,183,177,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
284,223,229,167,235,246,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
126,139,181,184,152,168,-1,1,-1,-1,1,-1,1,-1,-1,1,3
184,146,274,204,218,210,-1,1,-1,-1,1,-1,1,-1,-1,1,5
123,162,29,140,61,159,-1,-1,1,-1,-1,1,-1,-1,1,1,4
168,197,187,199,51,235,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
243,195,200,215,246,180,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
180,224,200,179,197,270,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
185,196,185,200,143,159,-1,1,-1,-1,1,-1,-1,1,-1,1,5
180,244,220,208,187,168,-1,1,-1,-1,1,-1,1,-1,-1,1,3
152,204,153,239,122,176,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
277,86,111,140,177,232,-1,1,-1,-1,1,-1,1,-1,-1,1,5
133,144,191,226,175,160,-1,1,-1,-1,1,-1,1,-1,-1,1,5
76,131,107,137,151,188,-1,-1,1,-1,-1,1,-1,-1,1,1,4
210,206,142,176,179,173,-1,1,-1,-1,1,-1,1,-1,-1,1,5
106,125,190,156,152,126,-1,-1,1,-1,-1,1,-1,-1,1,1,4
212,141,150,154,211,163,-1,1,-1,-1,1,-1,1,-1,-1,1,3
166,247,228,80,103,113,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
85,118,116,74,130,133,-1,-1,1,-1,-1,1,-1,-1,1,1,4
216,192,249,190,208,188,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
176,149,184,201,210,199,-1,1,-1,-1,1,-1,1,-1,-1,1,5
219,212,177,204,206,180,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
226,216,191,208,176,237,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
135,140,91,230,211,173,-1,1,-1,-1,1,-1,1,-1,-1,1,3
220,187,202,145,216,233,-1,1,-1,-1,1,-1,1,-1,-1,1,5
171,137,153,178,197,161,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
105,134,135,141,154,152,-1,-1,1,-1,-1,1,-1,-1,1,1,4
106,249,170,189,190,99,-1,1,-1,-1,1,-1,1,-1,-1,1,5
71,200,178,229,192,142,-1,1,-1,-1,1,-1,1,-1,-1,1,5
204,259,235,245,163,203,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
179,240,185,185,211,166,-1,1,-1,-1,1,-1,1,-1,-1,1,5
201,223,235,141,104,219,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
154,197,189,180,180,232,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
254,224,271,227,245,278,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
250,170,197,95,161,200,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
164,135,123,161,160,133,-1,-1,1,-1,-1,1,-1,-1,1,1,4
233,213,240,195,237,224,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
177,208,127,227,172,177,-1,1,-1,1,-1,-1,1,-1,-1,1,5
207,219,229,158,145,265,-1,1,-1,-1,1,-1,1,-1,-1,1,3
128,145,113,187,126,145,-1,-1,1,-1,-1,1,-1,-1,1,1,4
